region,year_surv,year,month,day,strata,strata_area,set,trip,vessel,pandalus_borealis,chionoecetes_opilio_small,gadus_morhua,reinhardtius_hippoglossoides,sebastes_mentella,planktivores
Gulf,1971,1971,9,13,415,2625,16,,TEM,,,0,0,75.94936709,0
Gulf,1971,1971,9,13,415,2625,17,,TEM,,,68.775,0,211.781889,0
Gulf,1971,1971,9,13,415,2625,18,,TEM,,,0,0,163.224517,0
Gulf,1971,1971,9,9,416,3666,12,,TEM,,,259.3390625,0,0,0
Gulf,1971,1971,9,10,416,3666,13,,TEM,,,119.9153846,0,0,0
Gulf,1971,1971,9,10,416,3666,14,,TEM,,,163.1720588,0,20.47654505,0
Gulf,1971,1971,9,13,416,3666,15,,TEM,,,90.42638889,0,237.3417722,0
Gulf,1971,1971,9,13,416,3666,19,,TEM,,,4.826315789,0,0,0
Gulf,1971,1971,9,14,416,3666,21,,TEM,,,196.8852941,0,0,0
Gulf,1971,1971,9,9,417,1804,10,,TEM,,,194.8625,0,0,0
Gulf,1971,1971,9,9,417,1804,11,,TEM,,,121.3676471,0,0,0
Gulf,1971,1971,9,8,417,1804,6,,TEM,,,2.413157895,0,0,0
Gulf,1971,1971,9,8,417,1804,7,,TEM,,,7.641666667,0,0,0
Gulf,1971,1971,9,8,417,1804,8,,TEM,,,217.7875,0,0,0
Gulf,1971,1971,9,9,417,1804,9,,TEM,,,186.0970588,0,0,0
Gulf,1971,1971,9,7,418,1354,1,,TEM,,,335.6875,0,0,0
Gulf,1971,1971,9,7,418,1354,2,,TEM,,,78.21470588,0,0,0
Gulf,1971,1971,9,8,418,1354,5,,TEM,,,28.13522727,0,0,0
Gulf,1971,1971,9,7,419,1522,3,,TEM,,,37.51363636,0,0,0
Gulf,1971,1971,9,7,419,1522,4,,TEM,,,275.1,0,0,19.17325889
Gulf,1971,1971,9,20,420,2656,45,,TEM,,,70.30333333,0,0,0
Gulf,1971,1971,9,20,420,2656,46,,TEM,,,22.925,0,0,0
